Date,Daily_new_confirmed_cases
2020/9/14,1008
2020/9/15,1229
2020/9/16,1452
2020/9/17,1583
2020/9/18,1907
2020/9/19,1637
2020/9/20,1587
2020/9/21,1350
2020/9/22,1391
2020/9/23,1640
2020/9/24,1786
2020/9/25,1912
2020/9/26,1869
2020/9/27,1766
2020/9/28,1494
2020/9/29,1647
2020/9/30,1850
2020/10/1,2548
2020/10/2,2499
2020/10/3,2843
2020/10/4,2578
2020/10/5,2257
2020/10/6,2677
2020/10/7,3677
2020/10/8,4458
2020/10/9,5372
2020/10/10,5724
2020/10/11,5456
2020/10/12,4619
2020/10/13,5898
2020/10/14,7332
2020/10/15,8803
2020/10/16,10009
2020/10/17,10925
2020/10/18,11705
2020/10/19,9337
2020/10/20,10871
2020/10/21,15199
2020/10/22,16078
2020/10/23,19143
2020/10/24,19640
2020/10/25,21273
2020/10/26,17007
2020/10/27,21989
2020/10/28,24988
2020/10/29,26829
2020/10/30,31079
2020/10/31,31756
2020/11/1,29905
2020/11/2,22253
2020/11/3,28241
2020/11/4,30548
2020/11/5,34502
2020/11/6,37802
2020/11/7,39809
2020/11/8,32614
2020/11/9,25269
2020/11/10,35090
2020/11/11,32961
2020/11/12,37977
2020/11/13,40902
2020/11/14,37249
2020/11/15,33977
2020/11/16,27352
