Date,Daily_new_confirmed_cases
2020/8/30,181
2020/8/31,272
2020/9/1,204
2020/9/2,327
2020/9/3,403
2020/9/4,357
2020/9/5,358
2020/9/6,184
2020/9/7,290
2020/9/8,520
2020/9/9,502
2020/9/10,664
2020/9/11,580
2020/9/12,869
2020/9/13,463
2020/9/14,382
2020/9/15,764
2020/9/16,768
2020/9/17,780
2020/9/18,808
2020/9/19,813
2020/9/20,621
2020/9/21,563
2020/9/22,645
2020/9/23,681
2020/9/24,832
2020/9/25,684
2020/9/26,714
2020/9/27,662
2020/9/28,556
2020/9/29,609
2020/9/30,772
2020/10/1,873
2020/10/2,688
2020/10/3,1058
2020/10/4,714
2020/10/5,750
2020/10/6,923
2020/10/7,1029
2020/10/8,1209
2020/10/9,1131
2020/10/10,1235
2020/10/11,896
2020/10/12,979
2020/10/13,1028
2020/10/14,1346
2020/10/15,1552
2020/10/16,1163
2020/10/17,1747
2020/10/18,1672
2020/10/19,1121
2020/10/20,1524
2020/10/21,1958
2020/10/22,2435
2020/10/23,2571
2020/10/24,3614
2020/10/25,2782
2020/10/26,2456
2020/10/27,2835
2020/10/28,3394
2020/10/29,4453
2020/10/30,5627
2020/10/31,5349
2020/11/1,4956
2020/11/2,4135
2020/11/3,4182
2020/11/4,6901
2020/11/5,7416
2020/11/6,6464
2020/11/7,8241
2020/11/8,5933
2020/11/9,5593
